Date,DZD,AUD,BHD,VEF,BWP,BRL,BND,CAD,CLP,CNY,COP,CZK,DKK,EUR,HUF,ISK,INR,IDR,IRR,ILS,JPY,KZT,KRW,KWD,LYD,MYR,MUR,MXN,NPR,NZD,NOK,OMR,PKR,PEN,PHP,PLN,QAR,RUB,SAR,SGD,ZAR,LKR,SEK,CHF,THB,TTD,TND,AED,GBP,USD,UYU,VES
2019-08-09,119.439,1.468428781,0.37600000000000117,2.1516448347787856e+16,10.96491228,3.9356,1.373372474663725,1.3221,710.98,7.052,3394.61,23.068,6.6647,0.89301661,147887.5224242648,-1416.29163305954,70.5185,1074170506.660736,42016.011449493,3.479,105.98,23236.352602550527,1211.3,0.3036,1.9324000000000099,4.1875,35.7228,19.4283,-127.34081431156483,1.542020046,8.8934,0.3845,-196.84831591580587,3.379,52.23,3.8613,3.64,65.2543,3.75,1.373723434791568,14.68653446522094,275.0353954788916,9.5727,0.97295,30.73,6.7419,3.0024521419021237,3.6725,0.827266711,1,35.344,-166558082.06161606
2019-08-12,119.4812,1.473622163,0.3760000000000011,2.2062230527285684e+16,11.0619469,3.996,1.3733529695753717,1.3234,712.04,7.067,3382.71,23.074,6.6672,0.893335716,153690.72549321083,-1466.528796889048,69.7601256386753,1117740810.5967102,42016.562732152175,3.484,106.65760564756282,24101.23113637115,1209.7,0.3048626760856323,1.9324000000000092,4.229157664761158,35.791,19.5803,-134.1803613386137,1.545833977,8.9336,0.3845,-208.47543060340467,3.386,51.35348940784198,3.8711,3.64,65.4287,3.75,1.3737047514950473,15.3726,276.8683159633538,9.5864,0.9716,31.512741211064274,6.7564,3.0049635003401836,3.6725,0.827369379,1,35.901,-173289310.03593504
2019-08-13,119.3233,1.478415139,0.3760000000000011,2.2246188004798212e+16,11.0619469,3.973,1.3877,1.3236,716.69,7.0657,3436.26,23.019,6.6506,0.891106755,155658.38303069305,-1483.5117921131423,71.2365,1132521834.762024,42016.749250209425,3.493,105.43,24394.296635249746,1215.6,0.30486338951988134,1.9324000000000097,4.193,35.84,19.463,-136.4877688757506,1.549666822,8.918,0.3845,-212.40820079445257,3.375,51.901,3.8714,3.64,65.6017,3.7500000000000075,1.3877,15.3823,277.48341958089986,9.5839,0.9678,30.798,6.7723,3.005800772092947,3.672500000000009,0.827403607,1,35.878,-175572703.43791318
2019-08-14,119.5024,1.473187979,0.3760000000000011,2.2431165222111108e+16,11.01321586,4.0068,1.3845,1.3311,708.37,7.0125,3407.76,23.135,6.6686,0.893814802,157642.78704554494,-1500.6141126335206,71.0968,1147432598.5265503,42016.93715536967,3.489,106.36,24689.764807560365,1218.9,0.3038,1.9324000000000097,4.1865,35.8704,19.5763,-138.80902296974818,1.550387597,8.9413,0.3845,-216.36967016634298,3.4366748141195957,52.193,3.889,3.64,65.2032,3.750000000000008,1.3845,15.28285,278.10059408450115,9.5442,0.97255,30.822,6.7774,3.0066381197191103,3.6725,0.826514588,1,36.39714686920263,-177876067.1230327
2019-08-15,119.67591820392457,1.47427392,0.3760000000000011,2.2617164997800616e+16,11.0619469,4.0182,1.3886,1.3325,708.4399538347375,7.0258,3449.27,23.211,6.6897,0.896860987,159644.00846984005,-1517.8361714436505,69.80439576798675,1162473668.7937927,42017.126452738885,3.519,105.93,24987.64546107943,1216.038803421873,0.3038,1.9324000000000097,4.1935,35.9399,19.6365,-141.14416399628863,1.552795031,8.9816,0.3845000000000012,-220.35993863903423,3.39,52.195,3.829485804832456,3.6400000000000095,65.8907,3.750000000000008,1.3886,15.30335,278.719842968972,9.6136,0.97275,30.846,6.7789,3.0074755430606914,3.672500000000009,0.826924667,1,36.198,-180199488.03801644
2019-08-16,119.7605,1.47275405,0.37600000000000106,2.280419015044298e+16,11.03752759,3.9927,1.3873,1.3286,710.14,7.0459,3447.76,23.236,6.557714622008703,0.902853016,161662.11823564814,-1535.1783815370436,71.2872,1177645612.4672241,42017.31714742817,3.541,106.15,25287.94840358547,1211.7,0.3048654931685665,1.9324000000000094,4.183,36.0098,19.5669,-143.49323233105497,1.554726368,8.9972,0.3845,-224.37910613248096,3.4372683997478335,52.519,3.9281,3.64,65.9961,3.7500000000000075,1.3873,15.19425,279.34116972912716,9.6717,0.98035,30.9,6.7968830842135475,3.008313041959706,3.6725,0.822368421,1,36.199,-182543053.129588
2019-08-19,119.8027,1.47427392,0.3760000000000011,2.337144605584968e+16,11.0619469,4.0268,1.3848,1.3298,709.26,7.0473,3441.4,23.219,6.7173,0.90065748,167818.486902887,-1587.9300494516647,71.3419,1223952352.9601746,42017.897666502744,3.545,106.38,26203.489042796893,1213.3,0.30395,1.9324000000000097,4.168,36.0432,19.8153,-150.62440494152634,1.558846454,8.9758,0.3845,-236.61100193687707,3.382,52.467,3.9199,3.64,66.6082,3.75,1.3848,15.34845,281.2176522118493,9.665,0.97965,30.863,6.7774,3.010825990421531,3.6725,0.82487833,1,36.343,-189695482.93106067
2019-08-20,119.8764,1.472970982,0.3760000000000011,2.3562600902065924e+16,11.11111111,4.0419,1.3853,1.3323,711.94,7.0626,3441.4,23.289,6.7317,0.902853016,169904.85935547808,-1605.756994612966,71.6483,1239653459.2937012,42018.09400156047,3.524,106.56,26513.57921902358,1210.7,0.30395,1.9324000000000097,4.1815,36.0353,19.7522,-153.0295862660123,1.560062402,8.9958,0.3845,-240.7467647128724,3.379,52.308,3.9408,3.64,66.784,3.75,1.3853,15.34845,281.847325422892,9.6843,0.97945,30.823,6.7309,3.0116637899704557,3.6725,0.82815735,1,36.605,-192120494.19621503
2019-08-21,119.8132,1.474708745,0.3760000000000012,2.375479521811625e+16,11.07419712,4.0248,1.3838,1.3278,710.63,7.0601,3420.99,23.231,6.7151,0.900576369,172008.4748099465,-1623.7061560249858,71.5508,1255488273.5510864,42018.29175948398,3.527,106.47,26826.140723123797,1210.2,0.30395,1.93240000000001,4.1735,36.004,19.6798,-155.44889677712763,1.557875058,8.9394,0.3845,-244.91192610939106,3.376,51.33133231529863,3.921,3.64,66.263,3.75,1.3838,15.1846,282.47909398369393,9.6811,0.9798,30.783,6.7414,3.0125016642869014,3.6725,0.82487833,1,36.502,-194566084.3715732
2019-08-22,119.7868,1.477323091,0.3760000000000011,2.394803182257691e+16,11.07419712,4.0438,1.3853,1.3293,709.52,7.0785,3385.28,23.261,6.7272,0.902282775,174129.4041983625,-1641.777946681188,71.7033,1271457362.6358032,42018.49094538251,3.525,106.45,27141.183362875483,1204.0,0.30395,1.9324000000000099,4.1805,35.9976,19.7467,-157.88237685055992,1.562011871,8.9678,0.3845,-249.10658604638775,3.378,52.394,3.9337,3.64,65.6196,3.75,1.3853,15.1856,283.1129613890703,9.613,0.98285,30.783,6.7378,3.013339613212884,3.6725,0.82382502,1,36.33,-197032340.40385818
